Validation mean,Validation deviation,Training mean,Training deviation,C,epsilon,gamma,degree,kernel,coef,time,Validation foldN _0,Validation foldN _1,Validation foldN _2,Validation foldN _3,Validation foldN _4,Training foldN _0,Training foldN _1,Training foldN _2,Training foldN _3,Training foldN _4
Validation mean,Validation deviation,Training mean,Training deviation,C,epsilon,gamma,degree,kernel,coef,time
12.8,2.6381811916545836,0.0,0.0,100,0.001,10,0,rbf,0,0.009579896926879883,9,14,12,17,12,0,0,0,0,0
12.8,2.6381811916545836,0.0,0.0,100,0.001,100,0,rbf,0,0.009022712707519531,9,14,12,17,12,0,0,0,0,0
12.8,2.6381811916545836,0.0,0.0,100,0.001,1000,0,rbf,0,0.007904767990112305,9,14,12,17,12,0,0,0,0,0
12.8,2.6381811916545836,0.0,0.0,100,0.001,10000,0,rbf,0,0.0076558589935302734,9,14,12,17,12,0,0,0,0,0
12.8,2.6381811916545836,0.0,0.0,100,0.001,100000,0,rbf,0,0.007722616195678711,9,14,12,17,12,0,0,0,0,0
12.8,2.6381811916545836,51.2,2.638181191654584,1000,0.001,0.0001,0,rbf,0,0.009901046752929688,9,14,12,17,12,55,50,52,47,52
12.8,2.6381811916545836,51.2,2.638181191654584,1000,0.001,0.001,0,rbf,0,0.010422468185424805,9,14,12,17,12,55,50,52,47,52
12.8,2.6381811916545836,0.0,0.0,1000,0.001,10,0,rbf,0,0.008693456649780273,9,14,12,17,12,0,0,0,0,0
12.8,2.6381811916545836,0.0,0.0,1000,0.001,100,0,rbf,0,0.009232759475708008,9,14,12,17,12,0,0,0,0,0
12.8,2.6381811916545836,0.0,0.0,1000,0.001,1000,0,rbf,0,0.00772857666015625,9,14,12,17,12,0,0,0,0,0
12.8,2.6381811916545836,0.0,0.0,1000,0.001,10000,0,rbf,0,0.008708000183105469,9,14,12,17,12,0,0,0,0,0
12.8,2.6381811916545836,0.0,0.0,1000,0.001,100000,0,rbf,0,0.007869720458984375,9,14,12,17,12,0,0,0,0,0
12.8,2.6381811916545836,51.2,2.638181191654584,10000,0.001,0.0001,0,rbf,0,0.023342609405517578,9,14,12,17,12,55,50,52,47,52
12.8,2.6381811916545836,0.0,0.0,10000,0.001,10,0,rbf,0,0.009608745574951172,9,14,12,17,12,0,0,0,0,0
12.8,2.6381811916545836,0.0,0.0,10000,0.001,100,0,rbf,0,0.010352134704589844,9,14,12,17,12,0,0,0,0,0
12.8,2.6381811916545836,0.0,0.0,10000,0.001,1000,0,rbf,0,0.008536338806152344,9,14,12,17,12,0,0,0,0,0
12.8,2.6381811916545836,0.0,0.0,10000,0.001,10000,0,rbf,0,0.008332490921020508,9,14,12,17,12,0,0,0,0,0
12.8,2.6381811916545836,0.0,0.0,10000,0.001,100000,0,rbf,0,0.008091449737548828,9,14,12,17,12,0,0,0,0,0
12.8,2.6381811916545836,51.2,2.638181191654584,100000,0.001,0.0001,0,rbf,0,0.03356122970581055,9,14,12,17,12,55,50,52,47,52
12.8,2.6381811916545836,0.0,0.0,100000,0.001,10,0,rbf,0,0.009792327880859375,9,14,12,17,12,0,0,0,0,0
12.8,2.6381811916545836,0.0,0.0,100000,0.001,100,0,rbf,0,0.009784460067749023,9,14,12,17,12,0,0,0,0,0
12.8,2.6381811916545836,0.0,0.0,100000,0.001,1000,0,rbf,0,0.009186744689941406,9,14,12,17,12,0,0,0,0,0
12.8,2.6381811916545836,0.0,0.0,100000,0.001,10000,0,rbf,0,0.008461952209472656,9,14,12,17,12,0,0,0,0,0
12.8,2.6381811916545836,0.0,0.0,100000,0.001,100000,0,rbf,0,0.009135246276855469,9,14,12,17,12,0,0,0,0,0
13.2,2.0396078054371136,25.0,2.0976176963403033,1000,0.001,0.01,0,rbf,0,0.015984773635864258,14,10,16,14,12,26,26,21,25,27
13.6,2.870540018881465,26.8,2.481934729198171,100000,0.001,0.001,0,rbf,0,0.08728933334350586,14,9,17,16,12,30,27,24,24,29
14.2,1.6,47.6,3.1368774282716245,1,0.001,0.1,0,rbf,0,0.0065135955810546875,14,14,14,17,12,43,50,46,47,52
14.6,1.9595917942265424,20.8,2.039607805437114,10,0.001,0.1,0,rbf,0,0.007327556610107422,14,12,18,15,14,21,21,17,22,23
15.8,1.8330302779823362,41.6,3.7735924528226414,10000,0.001,0.001,0,rbf,0,0.019527673721313477,15,14,18,18,14,43,48,37,41,39
16.4,2.0591260281974,41.2,4.445222154178574,100,0.001,0.01,0,rbf,0,0.007980108261108398,14,14,19,18,17,41,48,37,44,36
