,mean Validation Error,Mean training,alpha
312,2.189454213001442,2.155048247588938,3.13
313,2.189454071959661,2.1550511261542,3.1399999999999997
314,2.189453936252179,2.155054009800267,3.15
315,2.189453805876701,2.155056898523634,3.1599999999999997
316,2.1894536808309293,2.1550597923208104,3.17
317,2.1894535611125727,2.155062691188317,3.1799999999999997
318,2.1894534467193383,2.1550655951226854,3.19
319,2.1894533376489376,2.1550685041204645,3.1999999999999997
320,2.1894532338990835,2.155071418178213,3.21
321,2.1894531354674918,2.1550743372925023,3.2199999999999998
322,2.1894530423518788,2.155077261459917,3.23
323,2.1894529545499637,2.1550801906770567,3.2399999999999998
324,2.1894528720594675,2.1550831249405307,3.25
325,2.1894527948781137,2.1550860642469574,3.26
326,2.189452723003628,2.155089008592978,3.27
327,2.1894526564337387,2.1550919579752326,3.28
328,2.1894525951661725,2.1550949123903846,3.29
329,2.1894525391986637,2.155097871835105,3.3
330,2.1894524885289433,2.1551008363060746,3.31
331,2.1894524431547486,2.155103805799989,3.32
332,2.1894524030738176,2.155106780313559,3.33
333,2.189452368283888,2.1551097598434987,3.34
334,2.189452338782703,2.155112744386542,3.3499999999999996
335,2.1894523145680047,2.1551157339394287,3.36
336,2.189452295637542,2.155118728498918,3.3699999999999997
337,2.1894522819890603,2.1551217280617667,3.38
338,2.1894522736203097,2.15512473262476,3.3899999999999997
339,2.189452270529044,2.155127742184681,3.4
340,2.1894522727130146,2.1551307567383313,3.4099999999999997
341,2.189452280169978,2.155133776282523,3.42
342,2.189452292897695,2.1551368008140757,3.4299999999999997
343,2.1894523108939223,2.155139830329825,3.44
344,2.189452334156424,2.1551428648266135,3.4499999999999997
345,2.189452362682964,2.1551459043012966,3.46
346,2.189452396471307,2.15514894875074,3.4699999999999998
347,2.1894524355192235,2.1551519981718226,3.48
348,2.1894524798244817,2.155155052561431,3.4899999999999998
349,2.189452529384855,2.1551581119164642,3.5
350,2.1894525841981176,2.1551611762338276,3.51
351,2.1894526442620466,2.155164245510447,3.52
352,2.1894527095744203,2.1551673197432497,3.53
353,2.189452780133016,2.1551703989291755,3.54
354,2.18945285593562,2.1551734830651768,3.55
355,2.1894529369800164,2.1551765721482132,3.56
356,2.1894530232639893,2.155179666175257,3.57
357,2.18945311478533,2.155182765143291,3.58
358,2.189453211541826,2.1551858690493013,3.59
359,2.1894533135312724,2.155188977890301,3.5999999999999996
360,2.189453420751462,2.1551920916632943,3.61
361,2.1894535332001914,2.155195210365301,3.6199999999999997
362,2.1894536508752616,2.1551983339933596,3.63
363,2.1894537737744706,2.1552014625445066,3.6399999999999997
364,2.1894539018956216,2.155204596015792,3.65
365,2.1894540352365204,2.1552077344042826,3.6599999999999997
366,2.189454173794972,2.155210877707043,3.67
367,2.1894543175687877,2.1552140259211576,3.6799999999999997
368,2.1894544665557745,2.155217179043714,3.69
369,2.1894546207537484,2.1552203370718104,3.6999999999999997
370,2.189454780160521,2.1552235000025557,3.71
371,2.189454944773913,2.155226667833065,3.7199999999999998
372,2.1894551145917385,2.1552298405604713,3.73
373,2.189455289611822,2.155233018181908,3.7399999999999998
374,2.1894554698319837,2.155236200694517,3.75
375,2.1894556552500486,2.1552393880954566,3.76
376,2.189455845863846,2.1552425803818895,3.77
377,2.1894560416712014,2.155245777550987,3.78
378,2.1894562426699467,2.155248979599928,3.79
379,2.189456448857915,2.1552521865259067,3.8
380,2.18945666023294,2.155255398326122,3.81
381,2.18945687679286,2.1552586149977784,3.82
382,2.189457098535513,2.155261836538094,3.83
383,2.189457325458738,2.1552650629442947,3.84
384,2.18945755756038,2.1552682942136134,3.8499999999999996
385,2.189457794838283,2.155271530343289,3.86
386,2.189458037290293,2.1552747713305758,3.8699999999999997
387,2.1894582849142594,2.1552780171727326,3.88
388,2.1894585377080324,2.1552812678670232,3.8899999999999997
389,2.1894587956694656,2.1552845234107276,3.9
390,2.1894590587964116,2.1552877838011284,3.9099999999999997
391,2.189459327086728,2.1552910490355157,3.92
392,2.1894596005382745,2.1552943191111904,3.9299999999999997
393,2.189459879148909,2.1552975940254626,3.94
394,2.1894601629164963,2.1553008737756443,3.9499999999999997
395,2.1894604518389014,2.1553041583590655,3.96
396,2.1894607459139883,2.1553074477730556,3.9699999999999998
397,2.189461045139627,2.155310742014957,3.98
398,2.189461349513688,2.1553140410821117,3.9899999999999998
399,2.1894616590340443,2.155317344971884,4.0
400,2.1894619736985685,2.155320653681634,4.01
401,2.189462293505138,2.1553239672087283,4.02
402,2.189462618451631,2.1553272855505536,4.03
403,2.1894629485359283,2.1553306087044923,4.04
404,2.189463283755912,2.1553339366679376,4.05
405,2.1894636241094654,2.1553372694382933,4.06
406,2.1894639695944758,2.1553406070129695,4.07
407,2.189464320208831,2.15534394938938,4.08
408,2.189464675950422,2.1553472965649507,4.09
409,2.1894650368171384,2.1553506485371123,4.1
410,2.189465402806877,2.155354005303304,4.109999999999999
411,2.189465773917533,2.1553573668609705,4.12
412,2.189466150147004,2.155360733207566,4.13
